trial_id,child_plan_id,dataset_id,benchmark,task_id,task_name,split,capture_profile,canonical_family_id,candidate_position,pool,pool_position,cell_id,replicate_id,layout_seed_identity,layout_seed,reset_seed_identity,reset_seed,environment_seed_identity,environment_seed,policy_seed_identity,policy_seed,flow_noise_seed_identity,flow_noise_seed,layout_id,seed
rq024-foundation-00-r0,rq024-foundation-r1,rq024-foundation-r1,libero_90,52,LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_the_basket,train_discovery_baseline,rollout,52place_inmilkbasket[region=contain],0,discovery,0,untouched_baseline,0,sha256:51b6c947cdb99c2901a847c5b557f7398c4ff7741a00aaad979182eb09ca36c1,1370933575,sha256:f3665c5fa53d2e5f98ead9aa293d3c25e23b3663518f8e5013777087632a7c5c,4083571807,sha256:404559e9a58e8e3197165ec9f52aaf2bee18d571da88c14494e9f47301bd680a,1078286825,sha256:33e9906d515baa46fbeb440c76884aefd4996f408afc1c3cdf531a4e52b05d90,870944877,sha256:078e222e65cb3603c6533eca61998300689b29f1f857cf6b53e2b73f9db6d27f,126755374,25,4083571807
rq024-foundation-00-r1,rq024-foundation-r1,rq024-foundation-r1,libero_90,52,LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_the_basket,train_discovery_baseline,rollout,52place_inmilkbasket[region=contain],0,discovery,0,untouched_baseline,1,sha256:6770ec345d8230eda8bd834a6b291df29e80d0018d76bad075b34e2374910bc0,1735453748,sha256:43e3cad42fbdcb4ad11cf18e496e4c899808182d0b5b01cb9d024cee07b52ebf,1139002068,sha256:ef4f7d574a93799c770087a61cd452efa734b7a206ce6ea3f5da522516eac60d,4014964055,sha256:892a35702be6fe60e435c9bde645b753b7c48b6c50ce5e23916ab84a516dbd50,2301244784,sha256:0b2257a4cf5c14fcbdfa7702b49e48b4e3be5c2b7612dccc9ef353d3864f0cb4,186800036,48,1139002068
rq024-foundation-00-r2,rq024-foundation-r1,rq024-foundation-r1,libero_90,52,LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_the_basket,train_discovery_baseline,rollout,52place_inmilkbasket[region=contain],0,discovery,0,untouched_baseline,2,sha256:d8200543d86976d403a7ac480aacfb8702ef4b7e498c3358d22611c201c2ebbf,3625977155,sha256:f16d431f0ab621a2659aff44e0afe33d2cef6e7076609092a0a8429b4bef9dc2,4050469663,sha256:a278a6dee0340bc79aff2972e0f2d2728c6c099ad9e7cae21ad8697790da253d,2725816030,sha256:cb2736659d4f54789d12cc85529541dac9e8af68622991af8f697c9fb19fcb50,3408344677,sha256:7fb53fecf789a1549ca7b53ffdb5297c86bb8270662c063671abf1d27d100320,2142584812,5,4050469663
rq024-foundation-01-r0,rq024-foundation-r1,rq024-foundation-r1,libero_90,39,KITCHEN_SCENE8_turn_off_the_stove,test_confirmation_baseline,rollout,39turn_offstove,1,confirmation,0,untouched_baseline,0,sha256:0dfbb3871cf385a087135b753f509f55b8dad0039f20259d5454d7a0e3f58931,234599303,sha256:fb27423ca39bdb31b330f6f70004491e1c4e271cba4a1f1b02da76a157e75c54,4213654076,sha256:0a18c994324993042ffa8e398d063d48bd8f5983938ebb7b505c3b00a6674697,169396628,sha256:ac5f2eefa08c7e89908ef65c9fc2993f8efb7ad2b0dc9dee552c68fe43a2b19b,2891919087,sha256:ff132b07e5937738c953c9ccb67166ccace188dfaacd11df2fda5705194ced03,4279446279,3,4213654076
rq024-foundation-01-r1,rq024-foundation-r1,rq024-foundation-r1,libero_90,39,KITCHEN_SCENE8_turn_off_the_stove,test_confirmation_baseline,rollout,39turn_offstove,1,confirmation,0,untouched_baseline,1,sha256:54505592aad3514f240072ad9a843602a2df7b0914aead774c47ffb36b562d47,1414550930,sha256:de3f72c6036e731c82ec9b7313fee1bbcaa9fba675060a927e46f100baa39582,3728700102,sha256:26e77ae75590d125e4a710da0ac783f81a5307de9733234d1c25fc0d8de82e3b,652704487,sha256:3cad10a0aac7b87f8c70c4d91eb39bd0cabeb1cfdbc462b0b7dde1ff652ea47b,1017974944,sha256:ea9654933a9f60dfbe97d5a0b019f9d500234ac6d6791f2dcd469d16ae3db02d,3935720595,30,3728700102
rq024-foundation-01-r2,rq024-foundation-r1,rq024-foundation-r1,libero_90,39,KITCHEN_SCENE8_turn_off_the_stove,test_confirmation_baseline,rollout,39turn_offstove,1,confirmation,0,untouched_baseline,2,sha256:7b704833c0014fbbf2095518d94363da984232bca684da3d776abd0675b426ef,2070956083,sha256:cc3c8a9f99e22488ccfe2359b2bd47692c767775639a65ce4e4b6d6863794d4c,3426519711,sha256:64f204b241f34caa3bf7e05403f6331e9263515ca60d75491cbd0e20d5bf647a,1693582514,sha256:e0bd36ca8e40a9c03ac33e57dca8c46192dedbfec2aaed28d2a3de60a87796f8,3770496714,sha256:e7e8ee5445378c335d9de9b95ef712553821b31ce5279f65c1ab4a442d693a46,3890802260,33,3426519711
rq024-foundation-02-r0,rq024-foundation-r1,rq024-foundation-r1,libero_90,56,LIVING_ROOM_SCENE3_pick_up_the_butter_and_put_it_in_the_tray,train_discovery_baseline,rollout,56place_inbuttertray[region=contain],2,discovery,1,untouched_baseline,0,sha256:bf9924724be9183260e56dd2ebf8f587b9d7a1777575cb7dcb2346f48ec016d9,3214484594,sha256:157753acc2134ca5a8e830400e0c0b26ecc1a9fc5455b6ff089381519e484d44,360141740,sha256:e598c0d0b623a789088088f5aee828b5a6cf57e185be538a2cbbe16a2f2c5431,3851993296,sha256:05057895feed54b68db5d47b9cd099c87dedb3d01be27d9590a24764c0ba570e,84244629,sha256:1b76dc3de8a4ad2a33311b74c146fd6df052ee540691a2517e7f115481447437,460774461,44,360141740
rq024-foundation-02-r1,rq024-foundation-r1,rq024-foundation-r1,libero_90,56,LIVING_ROOM_SCENE3_pick_up_the_butter_and_put_it_in_the_tray,train_discovery_baseline,rollout,56place_inbuttertray[region=contain],2,discovery,1,untouched_baseline,1,sha256:1b3f677e107ae5b2129456fdbd014152fe9a16504cad2f827836e439d9e4f8d8,457140094,sha256:872773656c92f812d3263f275bd4a07bb998d804b2af8197464c8fade3648b6a,2267509605,sha256:c63fa560f0b5870be4bf2c3316b83c81c5abfabdd629398d48b03105a40bff6a,3326059872,sha256:913900da17511c190d30449b894b21c144845d8ef6ac5d7f79385bd9106d71f9,2436432090,sha256:e875ad1654dd0ab4ae44450862aa326e97f3199a70c2800fb5eabb1669f5e5ff,3900026134,44,2267509605
rq024-foundation-02-r2,rq024-foundation-r1,rq024-foundation-r1,libero_90,56,LIVING_ROOM_SCENE3_pick_up_the_butter_and_put_it_in_the_tray,train_discovery_baseline,rollout,56place_inbuttertray[region=contain],2,discovery,1,untouched_baseline,2,sha256:23d8320fe9ba1f6f40b4776b30910bb961daf3b0ad9794ea4a8d2ef06f53e0b0,601371151,sha256:245a91f0ff1e9ed21a7f3a5c9f761b681440a50d900ef01ea60a4f0836da00d9,609915376,sha256:27ba4f6fa3b65ac62a0d7d159c1d96ff3eb0523e6bacb6feece5cfca7f260e3b,666521455,sha256:99db46e4a8c344748c25ab0a8413fed3d25ec774e68b2e480b1c0cf8ce376626,2581284580,sha256:e9e8c9add6632ddbcc6f4baeeb8b4034ce0448ed8580275a44f7b073d52a4e08,3924347309,1,609915376
rq024-foundation-03-r0,rq024-foundation-r1,rq024-foundation-r1,libero_90,60,LIVING_ROOM_SCENE4_pick_up_the_black_bowl_on_the_left_and_put_it_in_the_tray,test_confirmation_baseline,rollout,60place_inblack_bowl[initial=left]tray[region=contain],3,confirmation,1,untouched_baseline,0,sha256:643e14e1960dffa5cb247147999e3108141bf0d4e9cf940fa7776a107f210a4c,1681790177,sha256:a20daa447649b678b0ac217b22fac578394bd1d3c932ba85f2acdcbbe7a9eafb,2718804548,sha256:13b07ef2d1233be0d42e4a3892cdd4b36c98c74d231ec7a003e3cd662952aab5,330333938,sha256:13273ac7f3b237082eddd7ed34673092b0982355169288904ce7ee41b7bb1554,321338055,sha256:2f1cd354cb6b86efe42e02b595651a5a233a3bad622fad3501c382efd5381b89,790418260,27,2718804548
